risn;XX_PE_listview_title_PE0100;AA425;TITREG;A0335;Dokumententyp;A0403;A0410;A0412;ISBN;Zeitschrift/Zeitung;DOI;Band;Nummer;Datum;Seiten von–bis
368;Bierbaum, Otto Julius;s.a. [ca. 1920;Prinz Kuckuck;;Buch (Monographie);Wohlfeile Ausg. 39.-59. Tsd;"München; Berlin";Müller;;;;Bd. 1;;;
369;Bierbaum, Otto Julius;s.a. [ca. 1920;Prinz Kuckuck;;Buch (Monographie);Wohlfeile Ausg. 39.-59. Tsd;"München; Berlin";Müller;;;;Bd. 2;;;
370;Bierbaum, Otto Julius;ca. 1925;Prinz Kuckuck;Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings, in einem Zeitroman;Schriften eines Autors;;Berlin;Franke;;;;;;;
371;Bierbaum, Otto Julius;ca. 1920]-;Prinz Kuckuck;Leben Taten Meinungen und Höllenfahrt eines  Wollüstlings, in einem Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
372;Bierbaum, Otto Julius;ca. 1920;Prinz Kuckuck;;Buch (Monographie);Neue Ausg;München;Müller;;;;Bd. 1;;;
373;Bierbaum, Otto Julius;ca. 1920;Prinz Kuckuck;;Buch (Monographie);Neue Ausg;München;Müller;;;;Bd. 2;;;
374;Bierbaum, Otto Julius;ca. 1918;Prinz Kuckuck;;Buch (Monographie);37. Aufl., 39. - 59. Tsd;München;G. Müller;;;;Bd. 1;;;
375;Bierbaum, Otto Julius;ca. 1915;Prinz Kuckuck;;Buch (Monographie);28., Aufl., 39. - 59. Tsd;München;G. Müller;;;;Bd. 2;;;
376;Bierbaum, Otto Julius;1928;Prinz Kuckuck;Leben, Taten, Meinungen u. Höllenfahrt eines  Wollüstlings, in einem Zeitroman;Schriften eines Autors;;Berlin;Franke;;;;;;;
377;Bierbaum, Otto Julius;1928;Prinz Kuckuck;Leben, Taten, Meinungen u. Höllenfahrt eines  Wollüstlings. In e. Zeitroman. Hrsg. v. Peter Scher;Buch (Monographie);;Berlin;P. Franke;;;;;;;
378;Bierbaum, Otto Julius;1922;Prinz Kuckuck;Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings in einem Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
379;Bierbaum, Otto Julius;1922;Prinz Kuckuck;Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings, in einem Zeitroman;Schriften eines Autors;1. - 16. Tsd;München;G. Müller;;;;;;;
380;Bierbaum, Otto Julius;1922;Prinz Kuckuck;;Buch (Monographie);;München;Müller;;;;Bd.2;;;
381;Bierbaum, Otto Julius;1922;Prinz Kuckuck;"Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings ; in einem Zeitroman ; Bd. 1";Schriften eines Autors;60. - 62. Tsd;München;Müller;;;;5;;;
382;Bierbaum, Otto Julius;1922;Prinz Kuckuck;"Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings ; in einem Zeitroman ; Bd. 2";Schriften eines Autors;60. - 62. Tsd;München;Müller;;;;6;;;
383;Bierbaum, Otto Julius;1922;Gesammelte Werke;;Buch (Monographie);60. - 62. Tsd;München;Müller;;;;5;;;
384;Bierbaum, Otto Julius;1922;Gesammelte Werke;;Buch (Monographie);60. - 62. Tsd;München;Müller;;;;6;;;
385;Bierbaum, Otto Julius;1917;Prinz Kuckuck;Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings, in einem Zeitroman von Otto Julius Bierbaum;Unklarer Dokumententyp;;;;;;;;;;
386;Bierbaum, Otto Julius;1917;Prinz Kuckuck;;Buch (Monographie);;München;Müller;;;;Bd.1;;;
387;Bierbaum, Otto Julius;1917;Prinz Kuckuck;;Buch (Monographie);;München;Müller;;;;Bd.2;;;
388;Bierbaum, Otto Julius;1911;Prinz Kuckuck;;Buch (Monographie);Neue Ausg., 5. Aufl.;München [u.a.] Müller;;;;;Bd. 1;;;
389;Bierbaum, Otto Julius;1911;Prinz Kuckuck;;Buch (Monographie);Neue Ausg., 5. Aufl.;München [u.a.];Müller;;;;Bd. 2;;;
390;Bierbaum, Otto Julius;1908-09;Prinz Kuckuck;;Buch (Monographie);[10.Aufl.];München [u.a.];G. Müller;;;;1;;;
391;Bierbaum, Otto Julius;1908-09;Prinz Kuckuck;;Buch (Monographie);[10.Aufl.];München [u.a.];G. Müller;;;;2;;;
392;Bierbaum, Otto Julius;1908-09;Prinz Kuckuck;;Buch (Monographie);[10.Aufl.];München [u.a.];G. Müller;;;;3;;;
393;Bierbaum, Otto Julius;1908-;Prinz Kuckuck;Leben Taten Meinungen und Höllenfahrt eines  Wollüstlings, in einem Zeitroman;Unklarer Dokumententyp;;;;;;;;;;
394;Bierbaum, Otto Julius;1908;Prinz Kuckuck;;Buch (Monographie);Wohlfeile Ausg;"München; Berlin";Müller;;;;Bd. 1;;;
395;Bierbaum, Otto Julius;1908;Prinz Kuckuck;;Buch (Monographie);;München;G. Müller;;;;Bd. 2;;;
396;Bierbaum, Otto Julius;1908;Prinz Kuckuck;;Buch (Monographie);Wohlfeile Ausg;"München; Berlin";Müller;;;;Bd. 2;;;
397;Bierbaum, Otto Julius;1908;Prinz Kuckuck;;Buch (Monographie);;München [u.a.];Müller;;;;3;;;
398;Bierbaum, Otto Julius;1908;Prinz Kuckuck;;Buch (Monographie);;München;G. Müller;;;;Bd. 3;;;
399;Bierbaum, Otto Julius;1907-1908;Prinz Kuckuck;;Buch (Monographie);9. Aufl.;München;G. Müller;;;;Bd. 1;;;
400;Bierbaum, Otto Julius;1907-1908;Prinz Kuckuck;;Buch (Monographie);9. Aufl.;München;G. Müller;;;;Bd. 2;;;
401;Bierbaum, Otto Julius;1907-1908;Prinz Kuckuck;;Buch (Monographie);9. Aufl.;München;G. Müller;;;;Bd. 3;;;
402;Bierbaum, Otto Julius;1907-;Prinz Kuckuck;"Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings ; in einem Zeitroman";Unklarer Dokumententyp;;;;;;;;;;
403;Bierbaum, Otto Julius;1907;Prinz Kuckuck;;Buch (Monographie);;München [u.a.];Müller;;;;1;;;
404;Bierbaum, Otto Julius;1907;Prinz Kuckuck;;Buch (Monographie);3. Aufl.;München [u.a.];G. Müller;;;;Bd. 1;;;
405;Bierbaum, Otto Julius;1907;Prinz Kuckuck;;Buch (Monographie);8. Aufl.;München;G. Müller;;;;Bd. 1;;;
406;Bierbaum, Otto Julius;1907;Prinz Kuckuck;;Buch (Monographie);6. Aufl.;München;G. Müller;;;;Bd. 1;;;
407;Bierbaum, Otto Julius;1907;Prinz Kuckuck;;Buch (Monographie);7. Aufl.;München;G. Müller;;;;Bd. 1;;;
408;Bierbaum, Otto Julius;1907;Prinz Kuckuck;;Buch (Monographie);2. Aufl.;München;G. Müller;;;;Bd. 2;;;
409;Bierbaum, Otto Julius;1907;Prinz Kuckuck;;Buch (Monographie);;München;G. Müller;;;;Bd. 3;;;
410;Bierbaum, Otto Julius;;Prinz Kuckuck;"Leben, Taten, Meinungen und Höllenfahrt eines  Wollüstlings ; in einem Zeitroman";Unklarer Dokumententyp;;;;;;;;;;
411;Baitz, Josef;1909;Ecce sacerdos;"Josef Baitz ; Ein Zeitroman";Buch (Monographie);;Dresden;Pierson;;;;;;;
412;Aellen, Hermann;1914;Heimatfeinde;Ein Berner Volks- u. Zeitroman;Buch (Monographie);;Bern;Wyß;;;;;;;
413;Bierbaum, Otto Julius (1865-1910);1922;"Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings; in einem Zeitroman";"Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings; in einem Zeitroman";;[Einbändige Ausg.], 1. - 16. Tsd.;München;Müller;;;;;;;
414;Dabei, Adalmar;1886;Ein zerschelltes Wappenschild : Zeitroman aus unsern Adelskreisen;Zeitroman aus unsern Adelskreisen;;[Mikrofiche-Ausg.];Dresden [u.a.];Minden;;;;;;;
415;Dabei, Adalmar;1886;Vom Cirkus zum Grafenschloss : Zeitroman aus unsern Tagen;Zeitroman aus unsern Tagen;;[Mikrofiche-Ausg.];Dresden;Meinhold;;;;;;;
416;Dinter, Artur (1876-1948);1934;Die Sünde wider das Blut : ein Zeitroman;ein Zeitroman;;251. - 260. Tsd.;Leipzig;Hammer-Verl.;;;;;;;
417;Dinter, Artur (1876-1948);1921;Die Sünde wider den Geist : ein Zeitroman;ein Zeitroman;;;"Leipzig ; Hartenstein";Matthes & Thost;;;;;;;
418;Dinter, Artur (1876-1948);1921;Die Sünde wider den Geist : ein Zeitroman;ein Zeitroman;;56. - 100. Tsd.;"Leipzig ; Hartenstein im Erzgeb.";Matthes & Thost;;;;;;;
419;Dinter, Artur (1876-1948);1922;Die Sünde wider die Liebe : ein Zeitroman;ein Zeitroman;;1. - 5. Aufl.;"Leipzig ; Hartenstein";Matthes & Thost;;;;;;;
420;Graf, Oskar Maria (1894-1967);1985;Der Abgrund : ein Zeitroman;ein Zeitroman;;;Frankfurt am Main;Büchergilde Gutenberg;;;;;;;
421;Graf, Oskar Maria (1894-1967);1936;Der Abgrund : ein Zeitroman;ein Zeitroman;;1. - 3. Tsd.;London;Malik-Verl.;;;;;;;
422;Hanstein, Adalbert von (1861-1904);1895;Die Aktien des Glücks : humoristisch-satirischer Zeitroman;humoristisch-satirischer Zeitroman;;;Leipzig;Tiefenbach;;;;;;;
423;Hanstein, Otfrid von (1869-1959);1922;Wettkonzern Lange : Zeitroman;Zeitroman;;;Dresden;Verlag Deutsche Buchwerkstätten;;;;;;;
424;Johannes, Martin Otto (1887-);1935;Stehauf : deutscher Zeitroman;deutscher Zeitroman;;;"Braunschweig ; Berlin ; Hamburg";Westermann;;;;;;;
425;Karrasch, Alfred (1893-1973);1934;Parteigenosse Schmiedecke : ein Zeitroman;ein Zeitroman;;41.-60. Tsd.;Berlin;Zeitgeschichte;;;;;;;
426;Mülleneisen, Jak;1912;Gelehrtenproletariat : ein Zeitroman;ein Zeitroman;;;Leipzig;Hoffmann;;;;;;;
427;Reimann, Hans (1889-1969);1921;Die Dinte wider das Blut : ein Zeitroman;ein Zeitroman;;39., wildgewordene u. vermasselte Aufl., 640.- 683. Tsd.;"Hannover ; Leipzig";Steegemann;;;;;;;
428;Ring, Max (1817-1901);1882;Fürst und Musiker : Zeitroman;Zeitroman;;;New York;Munro;;;;;;;
429;Samarow, Gregor (1829-1903);1910;Europäische Minen und Gegenminen : Zeitroman;Zeitroman;;Neue, ungekürzte Ausg.;Berlin;Globus-Verl.;;;;;;;
430;Samarow, Gregor (1829-1903);1873;Um Szepter und Kronen : Zeitroman. - 2,1. Europäische Minen und Gegenminen  : erster Band;erster Band;;;;;;;;;;;
431;Samarow, Gregor (1829-1903);1912;Um Zepter und Kronen : Zeitroman;Zeitroman;;Neue, ungekürzte Ausg., 27.  - 31.  Tsd.;Berlin;Globus-Verl.;;;;;;;
432;Schupp, Johannes Martin (1883-1947);1931;Morisan : ein Zeitroman;ein Zeitroman;;;Berlin;Loesdau;;;;;;;
433;Worms, Karl;1899;Du bist mein : ein Zeitroman in 2 Büchern;ein Zeitroman in 2 Büchern;;;Stuttgart;Cotta;;;;;;;
434;Wothe, Anny (1858-1919);1916;Die den Weg bereiten : ein Zeitroman;ein Zeitroman;;;Hamburg;Enoch;;;;;;;
435;Goedsche, Hermann Ottomar Friedrich (1816-1878);;Des Cäsars Ende : Zeit-Roman;Zeit-Roman;;[Mikrofiche-Ausg.];Berlin;Janke;;;;;;;
436;Samarow, Gregor (1829-1903);;Des Cäsars Ende : Zeit-Roman - Der Todesgruss der Legionen;;;;;;;;;;;;
437;Samarow, Gregor (1829-1903);;Gipfel und Abgrund : Zeitroman;Zeitroman;;[Mikrofiche-Ausg.];Stuttgart [u.a.];Dt. Verl.-Anst.;;;;;;;
438;Samarow, Gregor (1829-1903);;Um Szepter und Kronen : Zeitroman;Zeitroman;;[Mikrofiche-Ausg.];Stuttgart;Hallberger;;;;;;;
439;Schöfer, Erasmus (1931-);;Die Kinder des Sisyfos : Zeitroman;Zeitroman;;;Köln;Dittrich;;;;;;;
440;Samarow, Gregor (1829-1903);;Um Szepter und Kronen : Zeitroman;Zeitroman;;;Stuttgart;Hallberger;;;;;;;
441;Bierbaum, Otto Julius (1865-1910);;"Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings ; in einem Zeitroman";"Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings ; in einem Zeitroman";;;"München ; Leipzig";Müller;;;;;;;
442;Bierbaum, Otto Julius (1865-1910);;Prinz Kuckuck : Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings, in einem Zeitroman;Leben, Taten, Meinungen und Höllenfahrt eines Wollüstlings, in einem Zeitroman;;Wohlfeile Ausg.;"München ; Berlin";Müller;;;;;;;
